市区町村コード,都道府県・市区町村名,総数（人）,男（人）,女（人）,面積（参考）（km2）,人口密度（人/km2）,平均年齢（歳）,年齢中位数（歳）,年齢別人口（男女「総数」）15歳未満（人）,年齢別人口（男女「総数」）15～64歳（人）,年齢別人口（男女「総数」）65歳以上（人）,人口構成比［年齢別］(男女「総数」）15歳未満（％）,人口構成比［年齢別］(男女「総数」）15～64歳（％）,人口構成比［年齢別］(男女「総数」）65歳以上（％）,年齢別人口（男）15歳未満（人）,年齢別人口（男）15～64歳（人）,年齢別人口（男）65歳以上（人）,人口構成比［年齢別］(男）15歳未満（％）,人口構成比［年齢別］(男）15～64歳（％）,人口構成比［年齢別］(男）65歳以上（％）,年齢別人口（女）15歳未満（人）,年齢別人口（女）15～64歳（人）,年齢別人口（女）65歳以上（人）,人口構成比［年齢別］(女）15歳未満（％）,人口構成比［年齢別］(女）15～64歳（％）,人口構成比［年齢別］(女）65歳以上（％）,人口性比（％）,日本人（人）,外国人（人）,総世帯（世帯）,一般世帯（世帯）,施設等の世帯（世帯）,核家族世帯（世帯）,夫婦のみの世帯（世帯）,夫婦と子供から成る世帯（世帯）,男親と子供から成る世帯（世帯）,女親と子供から成る世帯（世帯）,単独世帯（世帯）,65歳以上の単独世帯（世帯）,夫65歳以上，妻60歳以上の夫婦のみの世帯（世帯）,3世代世帯（世帯）
11343,小川町,28524.0,14190.0,14334.0,60.36,472.6,53.62428,58.3475,2289.0,15127.0,11108.0,8.02482,53.03253,38.94264,1164.0,7822.0,5204.0,8.20296,55.12333,36.67371,1125.0,7305.0,5904.0,7.84847,50.96275,41.18878,98.9954,28251.0,273.0,11781.0,11759.0,22.0,7433.0,3124.0,3045.0,239.0,1025.0,3087.0,1646.0,2224.0,729.0
11346,川島町,19378.0,9823.0,9555.0,41.63,465.5,51.36861,54.38725,1805.0,10589.0,6984.0,9.31469,54.64444,36.04087,945.0,5569.0,3309.0,9.62028,56.69347,33.68625,860.0,5020.0,3675.0,9.00052,52.53794,38.46154,102.80481,19042.0,336.0,7269.0,7263.0,6.0,4658.0,1803.0,2156.0,175.0,524.0,1588.0,731.0,1302.0,643.0
11347,吉見町,18192.0,9127.0,9065.0,38.64,470.8,51.38627,54.75439,1528.0,10515.0,6149.0,8.3993,57.80013,33.80057,799.0,5413.0,2915.0,8.75425,59.30755,31.93821,729.0,5102.0,3234.0,8.04192,56.2824,35.67568,100.68395,18037.0,155.0,6864.0,6856.0,8.0,4484.0,1699.0,2108.0,158.0,519.0,1443.0,736.0,1112.0,573.0
11348,鳩山町,13560.0,6556.0,7004.0,25.73,527.0,56.39919,62.49315,943.0,6389.0,6228.0,6.95428,47.11652,45.9292,450.0,3226.0,2880.0,6.86394,49.20683,43.92923,493.0,3163.0,3348.0,7.03883,45.15991,47.80126,93.60366,13427.0,133.0,5399.0,5379.0,20.0,3720.0,1767.0,1428.0,126.0,399.0,1181.0,756.0,1395.0,274.0
11349,ときがわ町,10540.0,5333.0,5207.0,55.9,188.6,53.77391,58.61438,880.0,5568.0,4092.0,8.34915,52.82732,38.82353,441.0,2960.0,1932.0,8.26927,55.50347,36.22726,439.0,2608.0,2160.0,8.43096,50.08642,41.48262,102.41982,10364.0,176.0,4201.0,4193.0,8.0,2622.0,1066.0,1103.0,94.0,359.0,1063.0,614.0,746.0,307.0
11361,横瀬町,7979.0,3966.0,4013.0,49.36,161.6,50.85719,54.02155,847.0,4416.0,2716.0,10.61537,55.34528,34.03935,419.0,2289.0,1258.0,10.5648,57.71558,31.71962,428.0,2127.0,1458.0,10.66534,53.00274,36.33192,98.82881,7916.0,63.0,3080.0,3076.0,4.0,1884.0,741.0,823.0,65.0,255.0,791.0,391.0,500.0,252.0
11362,皆野町,9302.0,4583.0,4719.0,63.74,145.9,52.82767,56.79048,937.0,4776.0,3589.0,10.0731,51.3438,38.5831,496.0,2448.0,1639.0,10.82261,53.41479,35.7626,441.0,2328.0,1950.0,9.3452,49.33249,41.32231,97.11803,9238.0,64.0,3584.0,3576.0,8.0,2140.0,880.0,892.0,73.0,295.0,918.0,562.0,619.0,318.0
11363,長瀞町,6807.0,3321.0,3486.0,30.43,223.7,53.94469,57.94512,624.0,3485.0,2698.0,9.16703,51.1973,39.63567,318.0,1785.0,1218.0,9.57543,53.74887,36.6757,306.0,1700.0,1480.0,8.77797,48.76649,42.45554,95.26678,6783.0,24.0,2605.0,2599.0,6.0,1597.0,673.0,656.0,59.0,209.0,601.0,394.0,459.0,256.0
11365,小鹿野町,10928.0,5382.0,5546.0,171.26,63.8,53.59316,57.96429,1040.0,5631.0,4257.0,9.51684,51.52818,38.95498,530.0,2925.0,1927.0,9.84764,54.34783,35.80453,510.0,2706.0,2330.0,9.19582,48.79192,42.01226,97.04291,10828.0,100.0,4170.0,4156.0,14.0,2430.0,1007.0,1015.0,76.0,332.0,1046.0,668.0,712.0,425.0
11369,東秩父村,2709.0,1352.0,1357.0,37.06,73.1,57.72739,62.97458,173.0,1275.0,1261.0,6.38612,47.06534,46.54854,84.0,658.0,610.0,6.21302,48.66864,45.11834,89.0,617.0,651.0,6.55859,45.46794,47.97347,99.63154,2700.0,9.0,990.0,988.0,2.0,551.0,234.0,227.0,27.0,63.0,236.0,175.0,181.0,124.0
