都道府県名,都道府県・市区町村名,都道府県・市区町村名（英語）,市などの別,総数（人）,男（人）,女（人）,2015年（平成27年）の人口（組替）（人）,5年間の人口増減数（人）,5年間の人口増減率（％）,面積（参考）（km2）,人口密度（人/km2）,平均年齢（歳）,年齢中位数（歳）,年齢別人口（男女「総数」）15歳未満（人）,年齢別人口（男女「総数」）15～64歳（人）,年齢別人口（男女「総数」）65歳以上（人）,人口構成比［年齢別］(男女「総数」）15歳未満（％）,人口構成比［年齢別］(男女「総数」）15～64歳（％）,人口構成比［年齢別］(男女「総数」）65歳以上（％）,年齢別人口（男）15歳未満（人）,年齢別人口（男）15～64歳（人）,年齢別人口（男）65歳以上（人）,人口構成比［年齢別］(男）15歳未満（％）,人口構成比［年齢別］(男）15～64歳（％）,人口構成比［年齢別］(男）65歳以上（％）,年齢別人口（女）15歳未満（人）,年齢別人口（女）15～64歳（人）,年齢別人口（女）65歳以上（人）,人口構成比［年齢別］(女）15歳未満（％）,人口構成比［年齢別］(女）15～64歳（％）,人口構成比［年齢別］(女）65歳以上（％）,人口性比（％）,日本人（人）,外国人（人）,総世帯（世帯）,一般世帯（世帯）,施設等の世帯（世帯）,2015年（平成27年）の世帯数（組替）（世帯）,一般世帯（世帯）,核家族世帯（世帯）,夫婦のみの世帯（世帯）,夫婦と子供から成る世帯（世帯）,男親と子供から成る世帯（世帯）,女親と子供から成る世帯（世帯）,単独世帯（世帯）,65歳以上の単独世帯（世帯）,夫65歳以上，妻60歳以上の夫婦のみの世帯（世帯）,3世代世帯（世帯）
01_北海道,01212_留萌市,Rumoi-shi,2,20114,9649,10465,22221,-2107,-9.48202,297.84,67.5,53.41513,56.47315,1785,10590,7739,8.87442,52.6499,38.47569,919,5584,3146,9.5243,57.87128,32.60441,866,5006,4593,8.2752,47.83564,43.88915,92.20258,19979,135,9816,9784,32,10402,9784,4915,2551,1622,93,649,4121,1708,1559,221
01_北海道,01213_苫小牧市,Tomakomai-shi,2,170113,83522,86591,172737,-2624,-1.51907,561.57,302.9,48.10937,49.14109,20522,99016,50575,12.06375,58.20602,29.73024,10644,50915,21963,12.74395,60.95999,26.29607,9878,48101,28612,11.40765,55.54965,33.04269,96.45575,169361,752,80130,79962,168,78298,79962,44385,19320,17840,1042,6183,31627,11075,11128,1555
01_北海道,01214_稚内市,Wakkanai-shi,2,33563,16651,16912,36380,-2817,-7.74327,761.47,44.1,50.5,52.65222,3484,19034,11045,10.38048,56.71126,32.90826,1806,10101,4744,10.8462,60.66302,28.49078,1678,8933,6301,9.92195,52.82048,37.25757,98.45672,33125,438,16060,15944,116,16486,15944,8397,3839,3118,229,1211,6492,2454,2303,499
01_北海道,01215_美唄市,Bibai-shi,2,20413,9565,10848,23035,-2622,-11.38268,277.69,73.5,55.50627,59.79818,1539,10207,8667,7.53931,50.00245,42.45824,813,5164,3588,8.49974,53.9885,37.51176,726,5043,5079,6.69248,46.48783,46.81969,88.17294,20369,44,9434,9359,75,10173,9359,5004,2436,1641,121,806,3617,2122,1665,368
01_北海道,01216_芦別市,Ashibetsu-shi,2,12555,5762,6793,14676,-2121,-14.45217,865.04,14.5,58.27826,63.51657,845,5713,5997,6.73039,45.50378,47.76583,435,2861,2466,7.54946,49.6529,42.79764,410,2852,3531,6.03562,41.9844,51.97998,84.82261,12538,17,6055,6021,34,6862,6021,3377,1807,955,89,526,2241,1439,1258,155
01_北海道,01217_江別市,Ebetsu-shi,2,121056,57523,63533,120636,420,0.34815,187.38,646,48.55602,50.77067,13406,70691,36959,11.07421,58.39529,30.5305,6788,34783,15952,11.8005,60.46799,27.73152,6618,35908,21007,10.41663,56.51866,33.06471,90.54035,120370,686,53977,53869,108,51983,53869,32535,13630,13802,687,4416,18549,6686,8373,1315
01_北海道,01218_赤平市,Akabira-shi,2,9698,4388,5310,11105,-1407,-12.66997,129.88,74.7,58.86688,64.27857,608,4342,4748,6.26933,44.77212,48.95855,300,2173,1915,6.83683,49.52142,43.64175,308,2169,2833,5.80038,40.84746,53.35217,82.63653,9631,67,4494,4463,31,4980,4463,2307,1183,654,74,396,1831,1131,860,111
01_北海道,01219_紋別市,Mombetsu-shi,2,21215,9901,11314,23109,-1894,-8.19594,830.67,25.5,52.43929,55.54688,1971,11543,7701,9.2906,54.40962,36.29979,992,5802,3107,10.01919,58.60014,31.38067,979,5741,4594,8.653,50.74244,40.60456,87.51105,20685,530,11214,11192,22,11127,11192,5502,2750,1761,144,847,5326,2209,1722,133
01_北海道,01220_士別市,Shibetsu-shi,2,17858,8416,9442,19914,-2056,-10.32439,1119.22,16,54.90979,58.91379,1653,8847,7358,9.25636,49.54082,41.20282,855,4514,3047,10.15922,53.63593,36.20485,798,4333,4311,8.4516,45.8907,45.6577,89.13366,17782,76,8184,8157,27,8650,8157,4660,2498,1512,112,538,2849,1467,1638,305
01_北海道,01221_名寄市,Nayoro-shi,2,27282,13322,13960,29048,-1766,-6.07959,535.2,51,49.16747,50.32021,3025,15477,8780,11.0879,56.72971,32.18239,1567,8052,3703,11.7625,60.44138,27.79613,1458,7425,5077,10.44413,53.18768,36.36819,95.4298,27232,50,12810,12725,85,13086,12725,6650,3170,2509,133,838,5303,1822,1917,357
01_北海道,01222_三笠市,Mikasa-shi,2,8040,3631,4409,9076,-1036,-11.41472,302.52,26.6,57.09701,62.96667,655,3566,3819,8.14677,44.35323,47.5,315,1845,1471,8.6753,50.81245,40.51226,340,1721,2348,7.7115,39.03379,53.25471,82.35428,8025,15,3816,3799,17,4254,3799,1994,910,647,71,366,1583,1037,648,101
01_北海道,01223_根室市,Nemuro-shi,2,24636,11762,12874,26917,-2281,-8.4742,506.25,59.9,51.80533,54.75625,2396,13533,8707,9.7256,54.93181,35.34259,1217,6965,3580,10.34688,59.21612,30.437,1179,6568,5127,9.15799,51.01755,39.82445,91.36244,24327,309,11153,11133,20,11383,11133,5841,2630,2100,151,960,4201,1757,1634,603
01_北海道,01224_千歳市,Chitose-shi,2,97950,49790,48160,95648,2302,2.40674,594.5,164.8,44.28051,44.43452,13018,62214,22718,13.29045,63.51608,23.19347,6684,33000,10106,13.42438,66.27837,20.29725,6334,29214,12612,13.15199,60.6603,26.18771,103.38455,97246,704,43809,43635,174,40638,43635,24584,9721,10982,566,3315,17068,4583,4970,900
01_北海道,01225_滝川市,Takikawa-shi,2,39490,18832,20658,41192,-1702,-4.13187,115.9,340.7,51.36169,53.60696,4002,21525,13963,10.13421,54.50747,35.35832,2110,10975,5747,11.20433,58.27846,30.5172,1892,10550,8216,9.15868,51.0698,39.77152,91.16081,39380,110,18688,18636,52,18651,18636,10324,4936,3698,245,1445,7369,3114,2961,391
01_北海道,01226_砂川市,Sunagawa-shi,2,16486,7607,8879,17694,-1208,-6.82717,78.68,209.5,53.8916,57.55556,1438,8478,6570,8.72255,51.42545,39.852,710,4182,2715,9.33351,54.97568,35.69081,728,4296,3855,8.19912,48.38383,43.41705,85.67406,16457,29,7599,7572,27,7858,7572,4268,2061,1467,108,632,2705,1311,1359,198
01_北海道,01227_歌志内市,Utashinai-shi,2,2989,1399,1590,3585,-596,-16.62483,55.95,53.4,61.11291,66.70339,142,1253,1594,4.75075,41.92037,53.32887,80,660,659,5.71837,47.17655,47.10508,62,593,935,3.89937,37.2956,58.80503,87.98742,2979,10,1424,1417,7,1665,1417,727,372,206,20,129,608,376,282,27
